fqdn_no,family_no
fqdn_1886,0
fqdn_15101,0
fqdn_12835,0
fqdn_7631,0
fqdn_18316,0
fqdn_3155,0
fqdn_12483,0
fqdn_20332,0
fqdn_15792,0
fqdn_11885,0
fqdn_17727,0
fqdn_17809,0
fqdn_10510,0
fqdn_10112,0
fqdn_13790,0
fqdn_5772,0
fqdn_918,0
fqdn_860,0
fqdn_11405,0
fqdn_13050,0
fqdn_8315,0
fqdn_20397,0
fqdn_5458,0
fqdn_12703,0
fqdn_9188,0
fqdn_15311,0
fqdn_8117,0
fqdn_10585,0
fqdn_508,0
fqdn_10353,0
fqdn_10512,0
fqdn_13567,0
fqdn_361,0
fqdn_3445,0
fqdn_19174,0
fqdn_10141,0
fqdn_7708,0
fqdn_13534,0
fqdn_2406,0
fqdn_17659,0
fqdn_4822,0
fqdn_8978,0
fqdn_18079,0
fqdn_13763,0
fqdn_16304,0
fqdn_5801,0
fqdn_2724,0
fqdn_5344,0
fqdn_13373,0
fqdn_10413,0
fqdn_16801,0
fqdn_7975,0
fqdn_8246,0
fqdn_11656,0
fqdn_193,0
fqdn_8062,0
fqdn_661,0
fqdn_19957,0
fqdn_9414,0
fqdn_3671,0
fqdn_15809,0
fqdn_17439,0
fqdn_16795,0
fqdn_5669,0
fqdn_12664,0
fqdn_8301,0
fqdn_2384,0
fqdn_3305,0
fqdn_15675,0
fqdn_4440,0
fqdn_14792,0
fqdn_5738,0
fqdn_17405,0
fqdn_16691,0
fqdn_19935,0
fqdn_4119,0
fqdn_18262,0
fqdn_11872,0
fqdn_12394,0
fqdn_19782,0
fqdn_20496,0
fqdn_2785,0
fqdn_16700,0
fqdn_4139,0
fqdn_11853,0
fqdn_15438,0
fqdn_15705,0
fqdn_19297,0
fqdn_16200,0
fqdn_4287,0
fqdn_18975,0
fqdn_2124,0
fqdn_2365,0
fqdn_19694,0
fqdn_20260,0
fqdn_17005,0
fqdn_1719,0
fqdn_5390,0
fqdn_13399,0
fqdn_16365,0
fqdn_6111,6
fqdn_11680,0
fqdn_17221,0
fqdn_20453,0
fqdn_12377,0
fqdn_13401,6
fqdn_14016,0
fqdn_19506,0
fqdn_4933,0
fqdn_6263,0
fqdn_10942,0
fqdn_11485,0
fqdn_7730,0
fqdn_1499,6
fqdn_3484,0
fqdn_18766,0
fqdn_9865,6
fqdn_250,0
fqdn_19313,6
fqdn_4241,0
fqdn_3309,0
fqdn_5486,0
fqdn_1636,0
fqdn_4405,0
fqdn_15888,0
fqdn_8884,6
fqdn_16736,0
fqdn_3423,6
fqdn_12268,0
fqdn_14638,0
fqdn_8780,0
fqdn_9596,0
fqdn_6316,0
fqdn_592,0
fqdn_15617,0
fqdn_16858,0
fqdn_7645,0
fqdn_19542,6
fqdn_673,0
fqdn_6758,0
fqdn_3397,0
fqdn_17615,0
fqdn_12040,0
fqdn_11016,0
fqdn_10648,0
fqdn_3674,0
fqdn_2491,0
fqdn_5919,0
fqdn_12205,6
fqdn_3389,0
fqdn_18060,0
fqdn_10563,6
fqdn_17845,0
fqdn_14646,0
fqdn_8141,6
fqdn_6265,0
fqdn_375,0
fqdn_618,0
fqdn_18978,0
fqdn_8329,6
fqdn_4259,6
fqdn_6828,0
fqdn_8424,0
fqdn_17590,0
fqdn_16763,0
fqdn_18838,0
fqdn_3543,0
fqdn_5974,0
fqdn_11026,0
fqdn_1608,0
fqdn_18451,0
fqdn_8368,0
fqdn_8204,0
fqdn_7167,0
fqdn_19406,0
fqdn_13727,0
fqdn_6485,0
fqdn_17007,0
fqdn_2169,0
fqdn_10237,0
fqdn_4278,0
fqdn_18134,0
fqdn_2691,0
fqdn_3026,0
fqdn_14412,0
fqdn_16148,0
fqdn_17499,0
fqdn_1762,6
fqdn_17932,0
fqdn_3796,0
fqdn_1491,0
fqdn_15692,0
fqdn_13829,0
fqdn_17698,0
fqdn_686,0
fqdn_11008,6
fqdn_11919,0
fqdn_20136,0
fqdn_13690,0
fqdn_7844,0
fqdn_3811,0
fqdn_11949,0
fqdn_20292,0
fqdn_15798,6
fqdn_12886,0
fqdn_20169,0
fqdn_10861,6
fqdn_605,0
fqdn_8603,0
fqdn_6335,0
fqdn_12752,0
fqdn_7666,0
fqdn_7100,0
fqdn_11313,0
fqdn_1081,0
fqdn_9026,0
fqdn_11839,0
fqdn_2364,0
fqdn_2946,6
fqdn_20105,0
fqdn_7644,0
fqdn_15000,0
fqdn_17667,0
fqdn_15141,0
fqdn_13011,5
fqdn_12904,0
fqdn_383,0
fqdn_3872,0
fqdn_18025,0
fqdn_16972,0
fqdn_3279,6
fqdn_4751,0
fqdn_116,0
fqdn_9201,0
fqdn_9186,0
fqdn_10082,0
fqdn_11630,0
fqdn_13318,0
fqdn_12180,0
fqdn_11900,6
fqdn_4495,0
fqdn_16256,0
fqdn_15777,0
fqdn_9890,6
fqdn_7297,0
fqdn_7221,6
fqdn_20100,0
fqdn_46,0
fqdn_9978,0
fqdn_13878,0
fqdn_16464,6
fqdn_16325,6
fqdn_8583,6
fqdn_11263,0
fqdn_10009,0
fqdn_3874,6
fqdn_14705,6
fqdn_12706,0
fqdn_10245,0
fqdn_9373,0
fqdn_19041,6
fqdn_18831,0
fqdn_4311,0
fqdn_2278,0
fqdn_9636,6
fqdn_19537,0
fqdn_2875,0
fqdn_10193,0
fqdn_16151,0
fqdn_10678,0
fqdn_15905,6
fqdn_7742,0
fqdn_15086,0
fqdn_10548,0
fqdn_11800,0
fqdn_11214,6
fqdn_6229,0
fqdn_290,0
fqdn_3797,6
fqdn_741,0
fqdn_3474,6
fqdn_4903,6
fqdn_8537,6
fqdn_10833,0
fqdn_14982,0
fqdn_3467,6
fqdn_12897,0
fqdn_17843,6
fqdn_16359,6
fqdn_5125,0
fqdn_4101,0
fqdn_8688,0
fqdn_7023,0
fqdn_7141,6
fqdn_11097,0
fqdn_4704,0
fqdn_13591,0
fqdn_5796,6
fqdn_15626,0
fqdn_13855,0
fqdn_4277,6
fqdn_7548,6
fqdn_20275,0
fqdn_16962,0
fqdn_7774,0
fqdn_15618,0
fqdn_14774,0
fqdn_15403,0
fqdn_1333,6
fqdn_15019,6
fqdn_9671,6
fqdn_13869,0
fqdn_6806,0
fqdn_6139,0
fqdn_5227,0
fqdn_15950,0
fqdn_9714,0
fqdn_15631,0
fqdn_913,0
fqdn_4760,0
fqdn_15289,0
fqdn_18230,0
fqdn_2952,0
fqdn_18464,0
fqdn_4076,0
fqdn_9621,0
fqdn_4386,0
fqdn_19731,0
fqdn_13916,6
fqdn_1397,6
fqdn_19576,6
fqdn_2071,0
fqdn_9032,0
fqdn_772,6
fqdn_5999,0
fqdn_14317,0
fqdn_17966,6
fqdn_5545,6
fqdn_9219,0
fqdn_1148,0
fqdn_8711,0
fqdn_2031,0
fqdn_5510,0
fqdn_19705,0
fqdn_13386,0
fqdn_13751,6
fqdn_1196,6
fqdn_17052,0
fqdn_13003,0
fqdn_1286,5
fqdn_13466,0
fqdn_15725,0
fqdn_5375,0
fqdn_11476,0
fqdn_18846,0
fqdn_17882,0
fqdn_12862,0
fqdn_11013,0
fqdn_19275,0
fqdn_19903,6
fqdn_10010,0
fqdn_10530,0
fqdn_17247,0
fqdn_5488,0
fqdn_1776,0
fqdn_6842,0
fqdn_10749,0
fqdn_4103,0
fqdn_10480,0
fqdn_11966,6
fqdn_11567,0
fqdn_18412,4
